category,company,location,start_date,duration,stipend,apply_by,posted_date,applicants,skills_required,perks,openings,link
Operations,Urban Company,Delhi,Immediately,3 Months,"20,000 /month",14 Sep' 22,Posted today,0,"MS-Excel,","Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages,Job offer,",1,https://internshala.com/internship/detail/operations-internship-in-delhi-at-urban-company1661925428
Sales &amp; Marketing,BYJU'S The Learning App,"Thane, Navi Mumbai, Mumbai",Immediately,3 Months,"20,000 /month",14 Sep' 22,Posted today,0,"English Proficiency (Spoken),","Certificate,",4,https://internshala.com/internship/detail/sales-marketing-internship-in-multiple-locations-at-byjus-the-learning-app1661925329
Business Development (Sales),Urban Company,Hyderabad,Immediately,6 Months,"16,000 /month",14 Sep' 22,Posted today,0,"English Proficiency (Spoken),MS-Excel,SQL,","Certificate,Informal dress code,Free snacks & beverages,",2,https://internshala.com/internship/detail/business-development-sales-internship-in-hyderabad-at-urban-company1661853727
Operations,Times Business Solutions,Noida,Immediately,3 Months,"2,000-3,000 /month",14 Sep' 22,Posted today,0,"Data Analytics,MS-Excel,","Certificate,Flexible work hours,5 days a week,",2,https://internshala.com/internship/detail/operations-internship-in-noida-at-times-business-solutions1661847005
Marketing,BYJU'S The Learning App,"Amritsar, Chandigarh, Jalandhar, Ludhiana, Kangra, Mandi, Patiala, Sangrur",Immediately,1 Month,"18,000 /month",13 Sep' 22,Posted today,0,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,","Certificate,",15,https://internshala.com/internship/detail/marketing-internship-in-multiple-locations-at-byjus-the-learning-app1661783574
Customer Relationship Management,Royal Enfield,Delhi,Immediately,6 Months,"20,000 /month",13 Sep' 22,Posted 1 day ago,150,,"Job offer,",1,https://internshala.com/internship/detail/customer-relationship-management-internship-in-delhi-at-royal-enfield1661844547
Counseling,Fashion TV India,Ghaziabad,Immediately,3 Months,"5,000 /month",12 Sep' 22,Posted 1 day ago,0,,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Job offer,",2,https://internshala.com/internship/detail/counseling-internship-in-ghaziabad-at-fashion-tv-india1661777657
Marketing,BYJU'S The Learning App,Bangalore,Immediately,3 Months,"21,000 /month",12 Sep' 22,Posted 1 day ago,69,"English Proficiency (Spoken),Kannada Proficiency (Spoken),","Certificate,",15,https://internshala.com/internship/detail/marketing-internship-in-bangalore-at-byjus-the-learning-app1661705899
Sales And Marketing,Titan Company Limited,Koramangala,Immediately,2 Months,"10,000 /month",13 Sep' 22,Posted 1 day ago,0,,"Certificate,Informal dress code,",5,https://internshala.com/internship/detail/sales-and-marketing-internship-in-koramangala-at-titan-company-limited1661852344
Digital Ad Operations,Conde Nast India,Mumbai,Immediately,6 Months,"3,500 /month",12 Sep' 22,Posted 2 days ago,0,,,1,https://internshala.com/internship/detail/digital-ad-operations-internship-in-mumbai-at-conde-nast-india1661762173
Virtual Volunteering,CRY - Child Rights And YOU,Work From Home,Immediately,1 Month,Unpaid,12 Sep' 22,Posted 2 days ago,94,,"Certificate,Flexible work hours,",50,https://internshala.com/internship/detail/virtual-volunteering-work-from-home-job-internship-at-cry-child-rights-and-you1661766596
Marketing,Urban Company,Mumbai,Immediately,3 Months,"25,000 /month",12 Sep' 22,Posted 2 days ago,120,"English Proficiency (Spoken),MS-Excel,","Letter of recommendation,Flexible work hours,Informal dress code,Free snacks & beverages,Job offer,",1,https://internshala.com/internship/detail/marketing-internship-in-mumbai-at-urban-company1661714063
Operations,Nykaa,Delhi,Immediately,2 Months,"3,500-5,000 /month",12 Sep' 22,Posted 2 days ago,161,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word,","Certificate,5 days a week,",3,https://internshala.com/internship/detail/operations-internship-in-delhi-at-nykaa1661748512
Teaching,Teach For India,Delhi,Immediately,2 Months,Unpaid,12 Sep' 22,Posted 2 days ago,0,"Teaching,","Certificate,Flexible work hours,",4,https://internshala.com/internship/detail/teaching-part-time-job-internship-at-delhi-in-teach-for-india1661770531
Campus Ambassador,Casio India Company Private Limited,Work From Home,Immediately,2 Months,Performance Based,12 Sep' 22,Posted 2 days ago,48,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-PowerPoint,","Certificate,",200,https://internshala.com/internship/detail/campus-ambassador-programme-at-casio-india-company-private-limited1661158213
Business Development (Sales),Urban Company,Pune,Immediately,2 Months,"18,000 /month",10 Sep' 22,Posted 2 days ago,67,"English Proficiency (Spoken),MS-Office,Sales,","Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages,Job offer,",5,https://internshala.com/internship/detail/business-development-sales-internship-in-pune-at-urban-company1661514602
Social Media Marketing,Economic Times,Noida,Immediately,6 Months,"10,000 /month",11 Sep' 22,Posted 2 days ago,60,,"Certificate,",3,https://internshala.com/internship/detail/social-media-marketing-internship-in-noida-at-economic-times1661660348
Omni Sports Leader (Swimming),Decathlon,Pune,Immediately,3 Months,"5,000 /month",12 Sep' 22,Posted 2 days ago,0,,"Certificate,Letter of recommendation,Informal dress code,5 days a week,Job offer,",5,https://internshala.com/internship/detail/omni-sports-leader-swimming-internship-in-pune-at-decathlon1661586232
Business Development (Trekking Sport),Decathlon Sports India,"Pune, Pimpri-Chinchwad",Immediately,3 Months,"5,000 /month",13 Sep' 22,Posted 2 days ago,0,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,","Certificate,Letter of recommendation,Flexible work hours,Informal dress code,",10,https://internshala.com/internship/detail/business-development-trekking-sport-part-time-job-internship-at-pune-pimpri-chinchwad-in-decathlon-sports-india1661760072
Sports Leading,Decathlon,Mumbai,Immediately,6 Months,"20,000 /month",11 Sep' 22,Posted 3 days ago,60,,"5 days a week,",10,https://internshala.com/internship/detail/sports-leading-internship-in-mumbai-at-decathlon1661703375
Business Development (Sales),BYJU'S The Learning App,"Betul, Betul Bazar",Immediately,4 Months,"18,000 /month",11 Sep' 22,Posted 3 days ago,0,,,6,https://internshala.com/internship/detail/business-development-sales-internship-in-betul-betul-bazar-at-byjus-the-learning-app1661684833
Growth,Monster India,Bangalore,Immediately,2 Months,"12,000 /month",11 Sep' 22,Posted 3 days ago,46,,"Certificate,Letter of recommendation,Informal dress code,5 days a week,Free snacks & beverages,",4,https://internshala.com/internship/detail/growth-internship-in-bangalore-at-monster-india1661424547
Business Development (Sales),Economic Times,Noida,Immediately,6 Months,"10,000 /month",10 Sep' 22,Posted 4 days ago,33,,"Certificate,",2,https://internshala.com/internship/detail/business-development-sales-internship-in-noida-at-economic-times1661433096
Marketing,Think &amp; Learn Private Limited (BYJU'S),Surat,Immediately,2 Months,"18,000 /month",11 Sep' 22,Posted 4 days ago,0,"English Proficiency (Spoken),Gujarati Proficiency (Spoken),Hindi Proficiency (Spoken),","Certificate,Job offer,",2,https://internshala.com/internship/detail/marketing-internship-in-surat-at-think-learn-private-limited-byjus1661585356
Omni Sports Leadership (Skateboarding/Inline Skates),Decathlon Sports India Private Limited,"Pune, Pimpri-Chinchwad, Wakad",Immediately,3 Months,"5,000-10,000 /month",10 Sep' 22,Posted 5 days ago,0,"Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Sales and Marketing,","Certificate,Letter of recommendation,5 days a week,Free snacks & beverages,Job offer,",25,https://internshala.com/internship/detail/omni-sports-leadership-skateboarding-inline-skates-internship-in-multiple-locations-at-decathlon-sports-india-private-limited1661540238
Operations,Rapido - India's Largest Bike Taxi,Hyderabad,Immediately,6 Months,"15,000 /month",10 Sep' 22,Posted 5 days ago,77,"English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken),MS-Excel,MS-Office,Telugu Proficiency (Spoken),",,5,https://internshala.com/internship/detail/operations-internship-in-hyderabad-at-rapido-indias-largest-bike-taxi1661518483
Corporate Social Responsibilty,HDFC Ergo General Insurance Company Limited,Mumbai,Immediately,3 Months,"10,000 /month",9 Sep' 22,Posted 5 days ago,134,"MS-Excel,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",1,https://internshala.com/internship/detail/corporate-social-responsibilty-internship-in-mumbai-at-hdfc-ergo-general-insurance-company-limited1661491823
Law/Legal,Unacademy,Bangalore,Immediately,2 Months,Unpaid,9 Sep' 22,Posted 5 days ago,0,"English Proficiency (Spoken),English Proficiency (Written),MS-Office,MS-Word,","Certificate,",4,https://internshala.com/internship/detail/law-legal-internship-in-bangalore-at-unacademy1661431688
Social Work,WWF-India,Delhi,Immediately,3 Months,"17,000 /month",10 Sep' 22,Posted 5 days ago,89,,"Job offer,",10,https://internshala.com/internship/detail/social-work-internship-in-delhi-at-wwf-india1661511169
Business Development (Sales),Times Group,Mumbai,Immediately,6 Months,"10,000-11,000 /month",9 Sep' 22,Posted 5 days ago,0,"English Proficiency (Spoken),",,3,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-times-group1661411913
Academic Counselling,Fashion TV India,Ghaziabad,Immediately,3 Months,"5,000 /month",8 Sep' 22,Posted 6 days ago,27,"English Proficiency (Spoken),","Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Job offer,",2,https://internshala.com/internship/detail/academic-counselling-internship-in-ghaziabad-at-fashion-tv-india1661403842
Marketing,BYJU'S The Learning App,"Pune, Solapur, Nagpur, Nashik",Immediately,3 Months,"20,000 /month",8 Sep' 22,Posted 6 days ago,100,,"Certificate,Letter of recommendation,",20,https://internshala.com/internship/detail/marketing-internship-in-multiple-locations-at-byjus-the-learning-app1661412153
Marketing,Monster India,Noida,Immediately,3 Months,"12,000 /month",8 Sep' 22,Posted 6 days ago,65,"Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,","Certificate,Letter of recommendation,Informal dress code,5 days a week,",3,https://internshala.com/internship/detail/marketing-internship-in-noida-at-monster-india1661335560
Law/Legal,CIIE Initiatives (IIM Ahmedabad),Ahmedabad,Immediately,1 Month,Unpaid,8 Sep' 22,Posted 6 days ago,0,"English Proficiency (Spoken),English Proficiency (Written),MS-Office,MS-Word,","Certificate,Informal dress code,5 days a week,",2,https://internshala.com/internship/detail/law-legal-internship-in-ahmedabad-at-ciie-initiatives-iim-ahmedabad1661407899
Social Work,WWF-India,Mumbai,Immediately,3 Months,"18,000 /month",7 Sep' 22,Posted 7 days ago,61,"English Proficiency (Spoken),","Job offer,",10,https://internshala.com/internship/detail/social-work-internship-in-mumbai-at-wwf-india1661339086
Business Development (Sales),Urban Company,Mumbai,Immediately,6 Months,"20,000 /month",7 Sep' 22,Posted 7 days ago,52,"English Proficiency (Spoken),MS-Excel,","Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages,Job offer,",3,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-urban-company1661191580
Django Development,IIT Bombay,Work From Home,Immediately,6 Months,"2,000-5,000 /month",7 Sep' 22,Posted 7 days ago,232,"Django,MongoDB,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",2,https://internshala.com/internship/detail/django-development-work-from-home-job-internship-at-iit-bombay1661244571
Marketing,Times Of India,Mumbai,Immediately,6 Months,"15,000 /month",7 Sep' 22,Posted 7 days ago,84,,,1,https://internshala.com/internship/detail/marketing-internship-in-mumbai-at-times-of-india1661245075
Alliance Operations,BookMyShow,Mumbai,Immediately,3 Months,"7,500 /month",7 Sep' 22,Posted 7 days ago,44,"MS-Excel,","Certificate,Informal dress code,",1,https://internshala.com/internship/detail/alliance-operations-internship-in-mumbai-at-bookmyshow1661321646
Operations,Urban Company,Hyderabad,Immediately,6 Months,"10,000-15,000 /month",8 Sep' 22,Posted 7 days ago,56,"MS-Excel,","Certificate,Letter of recommendation,Free snacks & beverages,Job offer,",3,https://internshala.com/internship/detail/operations-internship-in-hyderabad-at-urban-company1661338982
Accreditation,BookMyShow,Mumbai,Immediately,6 Months,"7,500 /month",7 Sep' 22,Posted 7 days ago,45,"Event Management,MS-Excel,MS-PowerPoint,MS-Word,","Certificate,Letter of recommendation,Informal dress code,",2,https://internshala.com/internship/detail/accreditation-internship-in-mumbai-at-bookmyshow1661320388
Marketing,Aditya Birla Capital,Kolkata,Immediately,3 Months,"2,000 /month + Incentives",7 Sep' 22,Posted 7 days ago,0,,"Certificate,Letter of recommendation,Flexible work hours,",50,https://internshala.com/internship/detail/marketing-internship-in-kolkata-at-aditya-birla-capital1661333091
Business Development (Sales),Urban Company,Delhi,Immediately,3 Months,"20,000 /month",7 Sep' 22,Posted 7 days ago,110,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,SQL,","Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages,",2,https://internshala.com/internship/detail/business-development-sales-internship-in-delhi-at-urban-company1661287072
Software Development,Monster India,Bangalore,Immediately,3 Months,"10,000-15,000 /month",6 Sep' 22,Posted 7 days ago,334,"CSS,HTML,JavaScript,Node.js,","Certificate,Informal dress code,5 days a week,",2,https://internshala.com/internship/detail/software-development-internship-in-bangalore-at-monster-india1661251959
Omni Sports Leadership (Skateboarding/Skating),Decathlon Sport India Private Limited,"Pune, Pimpri-Chinchwad, Wakad",Immediately,2 Months,"5,000-10,000 /month",7 Sep' 22,Posted 7 days ago,34,"English Proficiency (Spoken),Sales and Marketing,","Letter of recommendation,Informal dress code,5 days a week,Free snacks & beverages,",20,https://internshala.com/internship/detail/omni-sports-leadership-skateboarding-skating-part-time-job-internship-at-multiple-locations-in-decathlon-sport-india-private-limited1661328119
Event Management,Office Of Advisor To CM,Delhi,Immediately,2 Months,Unpaid,8 Sep' 22,Posted 7 days ago,29,"Event Management,MS-Excel,MS-PowerPoint,","Certificate,Flexible work hours,",5,https://internshala.com/internship/detail/event-management-internship-in-delhi-at-office-of-advisor-to-cm1661327031
Project Planning (TribeVibe),BookMyShow,Mumbai,Immediately,6 Months,"7,500 /month",7 Sep' 22,Posted 7 days ago,0,,"Certificate,Informal dress code,5 days a week,",4,https://internshala.com/internship/detail/project-planning-tribevibe-internship-in-mumbai-at-bookmyshow1661254033
Graphic Design,BookMyShow,Mumbai,Immediately,6 Months,"7,500 /month",7 Sep' 22,Posted 7 days ago,0,"Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,CorelDRAW,","Informal dress code,5 days a week,",2,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-bookmyshow1661253717
Marketing And Sales,BYJU'S The Learning App,Goa Velha,Immediately,3 Months,"20,000 /month",7 Sep' 22,Posted 7 days ago,0,"English Proficiency (Spoken),Hindi Proficiency (Spoken),","Certificate,",2,https://internshala.com/internship/detail/marketing-and-sales-internship-in-goa-velha-at-byjus-the-learning-app1661242844
Graphic Design,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,3 Months,"10,000 /month",6 Sep' 22,Posted 1 week ago,106,"Adobe After Effects,Adobe Premiere Pro,English Proficiency (Spoken),English Proficiency (Written),Final Cut Pro,Social Media Marketing,Vector Dynamics,Video Editing,Video Making,","Certificate,Letter of recommendation,Informal dress code,",2,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-hungama-digital-media-entertainment-private-limited1661256177
Law/Legal,NestAway Technologies,Bangalore,Immediately,4 Months,"15,000 /month",6 Sep' 22,Posted 1 week ago,100,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Word,","Certificate,Flexible work hours,Informal dress code,5 days a week,",1,https://internshala.com/internship/detail/law-legal-internship-in-bangalore-at-nestaway-technologies1661231431
Volunteering,Teach For India,"Delhi, Gurgaon",Immediately,6 Months,Unpaid,6 Sep' 22,Posted 1 week ago,27,"Online Teaching,Teaching,","Certificate,Letter of recommendation,Flexible work hours,",1,https://internshala.com/internship/detail/volunteering-part-time-job-internship-at-delhi-gurgaon-in-teach-for-india1661193908
Product Management,Monster India,Bangalore,Immediately,3 Months,"10,000-15,000 /month",6 Sep' 22,Posted 1 week ago,193,"English Proficiency (Spoken),Product Lifecycle Management(PLM),Product Management,","Certificate,Informal dress code,5 days a week,",2,https://internshala.com/internship/detail/product-management-internship-in-bangalore-at-monster-india1661171106
QT Development,IIT Bombay,Work From Home,Immediately,6 Months,"2,000-5,000 /month",7 Sep' 22,Posted 1 week ago,153,"C++ Programming,Python,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",2,https://internshala.com/internship/detail/qt-development-work-from-home-job-internship-at-iit-bombay1661244016
Research Assistance (Automobile Electronics),Indian Institute Of Science,Bangalore,Immediately,6 Months,"25,000 /month",6 Sep' 22,Posted 1 week ago,103,"Analog And Digital Circuits,Circuit Design,Digital Signal Processing,Python,Raspberry Pi,","Informal dress code,",1,https://internshala.com/internship/detail/research-assistance-automobile-electronics-internship-in-bangalore-at-indian-institute-of-science1661173604
Business Development (Sales),MobiKwik,Gurgaon,Immediately,3 Months,"20,000 /month",7 Sep' 22,Posted 1 week ago,103,"English Proficiency (Spoken),English Proficiency (Written),Sales,Sales and Marketing,","Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Job offer,",10,https://internshala.com/internship/detail/business-development-sales-internship-in-gurgaon-at-mobikwik1661237749
Human Resources (HR),DCB Bank,Mumbai,Immediately,3 Months,"7,000 /month",6 Sep' 22,Posted 1 week ago,74,,"Certificate,",1,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-dcb-bank1661171059
Human Resources (HR),FirstCry.com,Pune,Immediately,3 Months,"3,000 /month",6 Sep' 22,Posted 1 week ago,86,"English Proficiency (Spoken),MS-Excel,",,5,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-firstcrycom1661235475
Campus Ambassador,Casio India Company Private Limited,Work From Home,Immediately,2 Months,Performance Based,6 Sep' 22,Posted 1 week ago,65,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-PowerPoint,","Certificate,",200,https://internshala.com/internship/detail/campus-ambassador-programme-at-casio-india-company-private-limited1661157877
Telecalling,Urban Company,Bangalore,Immediately,4 Months,"19,000 /month",6 Sep' 22,Posted 1 week ago,0,"Data Analytics,Kannada Proficiency (Spoken),MS-Excel,",,5,https://internshala.com/internship/detail/telecalling-internship-in-bangalore-at-urban-company1661190630
Research Assistance (Truck Driving Simulation using ETS2),Indian Institute Of Science,Bangalore,Immediately,6 Months,"25,000 /month",6 Sep' 22,Posted 1 week ago,43,"Adobe Photoshop,Blender 3D,C++ Programming,Unity 3D,Unity Engine,Unreal Engine,Vector Dynamics,","Informal dress code,",1,https://internshala.com/internship/detail/research-assistance-truck-driving-simulation-using-ets2-internship-in-bangalore-at-indian-institute-of-science1661173099
Business Development (Sales),Urban Company,Mumbai,Immediately,5 Months,"18,000 /month",5 Sep' 22,Posted 1 week ago,0,"MS-Excel,SQL,","Certificate,Informal dress code,",2,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-urban-company1661154778
Human Resources (HR),Thomas Cook India Limited,Mumbai,Immediately,3 Months,"2,500 /month",6 Sep' 22,Posted 1 week ago,0,"English Proficiency (Spoken),MS-Excel,MS-PowerPoint,MS-Word,","Certificate,Letter of recommendation,5 days a week,",2,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-thomas-cook-india-limited1661168284
Business Development (Sales),Urban Company,Bangalore,Immediately,2 Months,"20,000 /month",5 Sep' 22,Posted 1 week ago,101,,"Certificate,Letter of recommendation,Informal dress code,",4,https://internshala.com/internship/detail/business-development-sales-internship-in-bangalore-at-urban-company1661150467
Business Development (Sales),Cultfit Healthcare Private Limited,Bangalore,Immediately,2 Months,"10,000 /month",5 Sep' 22,Posted 1 week ago,48,"English Proficiency (Spoken),English Proficiency (Written),",,3,https://internshala.com/internship/detail/business-development-sales-internship-in-bangalore-at-cultfit-healthcare-private-limited1661098098
Retail,Decathlon Sports India,Mumbai,Immediately,6 Months,"10,000-20,000 /month",5 Sep' 22,Posted 1 week ago,128,"MS-Excel,","Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,",10,https://internshala.com/internship/detail/retail-part-time-job-internship-at-mumbai-in-decathlon-sports-india1661090093
Marketing,BYJU'S The Learning App,Bangalore,Immediately,2 Months,"20,000 /month",6 Sep' 22,Posted 1 week ago,57,"English Proficiency (Spoken),","Certificate,",5,https://internshala.com/internship/detail/marketing-internship-in-bangalore-at-byjus-the-learning-app1661149768
Human Resources (HR),Apollo Hospitals Enterprise Limited,Hyderabad,Immediately,3 Months,"10,000 /month",5 Sep' 22,Posted 1 week ago,103,"English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken),MS-Office,","Certificate,Job offer,",2,https://internshala.com/internship/detail/human-resources-hr-internship-in-hyderabad-at-apollo-hospitals-enterprise-limited1661148382
Marketing,Times Of India,Mumbai,Immediately,6 Months,"15,000 /month",5 Sep' 22,Posted 1 week ago,65,"Adobe Illustrator,Adobe Photoshop,CorelDRAW,MS-Excel,MS-PowerPoint,","Certificate,Letter of recommendation,Informal dress code,5 days a week,",1,https://internshala.com/internship/detail/marketing-internship-in-mumbai-at-times-of-india1661143449
Business Development (Sales),Aditya Birla Capital,Kolkata,Immediately,3 Months,"2,000-4,000 /month",4 Sep' 22,Posted 1 week ago,0,,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,",20,https://internshala.com/internship/detail/business-development-sales-internship-in-kolkata-at-aditya-birla-capital1661089539
Marketing,Magicpin (Samast Technologies),"Chandigarh, Bangalore, Hyderabad, Mumbai, Jaipur",Immediately,3 Months,"5,000 /month",4 Sep' 22,Posted 1 week ago,0,"English Proficiency (Spoken),Hindi Proficiency (Spoken),","Certificate,Letter of recommendation,",10,https://internshala.com/internship/detail/marketing-internship-in-multiple-locations-at-magicpin-samast-technologies1661005843
Marketing,Think &amp; Learn Private Limited (BYJU'S),Bharuch,Immediately,2 Months,"18,000 /month",3 Sep' 22,Posted 1 week ago,0,"English Proficiency (Spoken),Gujarati Proficiency (Spoken),Hindi Proficiency (Spoken),","Certificate,Job offer,",2,https://internshala.com/internship/detail/marketing-internship-in-bharuch-at-think-learn-private-limited-byjus1660981262
Marketing,Think &amp; Learn Private Limited (BYJU'S),Morbi,Immediately,2 Months,"18,000 /month",3 Sep' 22,Posted 1 week ago,0,"English Proficiency (Written),Gujarati Proficiency (Written),Hindi Proficiency (Spoken),Sales and Marketing,","Certificate,Letter of recommendation,",2,https://internshala.com/internship/detail/marketing-internship-in-morbi-at-think-learn-private-limited-byjus1660980160
Marketing,Think &amp; Learn Private Limited (BYJU'S),Indore,Immediately,3 Months,"18,000 /month",2 Sep' 22,Posted 1 week ago,38,,"Certificate,",3,https://internshala.com/internship/detail/marketing-internship-in-indore-at-think-learn-private-limited-byjus1660895713
Inside Sales,UpGrad (UpGrad Education Private Limited),Bangalore,Immediately,3 Months,"10,000 /month",2 Sep' 22,Posted 1 week ago,0,"MS-Excel,","Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages,",1,https://internshala.com/internship/detail/inside-sales-internship-in-bangalore-at-upgrad-upgrad-education-private-limited1660903828
Content &amp; E-Commerce Management,Bombay Shaving Company,"Faridabad, Delhi, Ghaziabad, Gurgaon, Noida",Immediately,3 Months,"5,000 /month",3 Sep' 22,Posted 1 week ago,32,,"Certificate,",1,https://internshala.com/internship/detail/content-e-commerce-management-internship-in-multiple-locations-at-bombay-shaving-company1660897780
Business Development (Sales),Urban Company,Bangalore,Immediately,6 Months,"15,000-20,000 /month",2 Sep' 22,Posted 1 week ago,44,"MS-Excel,SQL,","Informal dress code,Free snacks & beverages,",1,https://internshala.com/internship/detail/business-development-sales-internship-in-bangalore-at-urban-company1660893036
Business Development (Sales),Aditya Birla Sun Life Insurance Company Limited,"Navi Mumbai, Mumbai",Immediately,3 Months,"3,000 /month + Incentives",2 Sep' 22,Posted 1 week ago,0,,"Letter of recommendation,",5,https://internshala.com/internship/detail/business-development-sales-internship-in-navi-mumbai-mumbai-at-aditya-birla-sun-life-insurance-company-limited1660885310
Business Development (Sales),Decathlon Sport India Private Limited,Chennai,Immediately,3 Months,"10,000 /month",2 Sep' 22,Posted 1 week ago,0,,"Certificate,",1,https://internshala.com/internship/detail/business-development-sales-internship-in-chennai-at-decathlon-sport-india-private-limited1660870544
Marketing,Mahindra First Choice Wheels Limited,Mumbai,Immediately,3 Months,"8,000 /month",2 Sep' 22,Posted 1 week ago,36,"Content Marketing,Content Writing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing,","Certificate,Flexible work hours,Informal dress code,5 days a week,",2,https://internshala.com/internship/detail/marketing-internship-in-mumbai-at-mahindra-first-choice-wheels-limited1660827570
