category,company,location,start_date,duration,stipend,apply_by,applicants,skills_required,perks,openings,link
Law/Legal,Larsen &amp; Toubro,"Bangalore, Mumbai,",Immediately,4 Months,"5,000-20,000 /month",3 Feb' 23,79,,,2,https://internshala.com/internship/detail/law-legal-internship-in-bangalore-mumbai-at-larsen-toubro1674188703
Human Resources (HR),DCB Bank,"Jaipur,",Immediately,3 Months,"7,000 /month",2 Feb' 23,0,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,Recruitment,","Letter of recommendation,",2,https://internshala.com/internship/detail/human-resources-hr-internship-in-jaipur-at-dcb-bank1674112081
Human Resources &amp; Learning &amp; Development,Taj Hotels,"Chennai,",Immediately,6 Months,"3,000 /month",3 Feb' 23,64,"British English,MS-Office,","Certificate,Letter of recommendation,Free snacks & beverages,",1,https://internshala.com/internship/detail/human-resources-learning-development-internship-in-chennai-at-taj-hotels1673002336
,,,,,,,,,,,https://internshala.com/job/detail/inside-sales-specialist-fresher-jobs-in-chennai-bangalore-at-skill-lync1673335657
Talent Acquisition,Times Internet,"Noida,",Immediately,6 Months,"10,000 /month",3 Feb' 23,48,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,","Certificate,5 days a week,Job offer,",1,https://internshala.com/internship/detail/talent-acquisition-internship-in-noida-at-times-internet1674031066
Marketing Automation (Marketo Tool),Ericsson India Global Sevices Private Limited,"Gurgaon, Bangalore, Noida,",Immediately,6 Months,"25,000 /month",3 Feb' 23,59,,"Certificate,5 days a week,",1,https://internshala.com/internship/detail/marketing-automation-marketo-tool-internship-in-multiple-locations-at-ericsson-india-global-sevices-private-limited1673874126
HR Trainee,Shiv Nadar Foundation,"Noida,",Immediately,6 Months,"10,000-20,000 /month",2 Feb' 23,93,"MS-Excel,MS-Office,MS-PowerPoint,MS-Word,Operations,","Certificate,Letter of recommendation,Informal dress code,5 days a week,Free snacks & beverages,",2,https://internshala.com/internship/detail/hr-trainee-internship-in-noida-at-shiv-nadar-foundation1672902905
Telecalling,Tally Solutions Private Limited,"Vijayawada,",Immediately,4 Months,"8,000-10,000 /month",2 Feb' 23,0,"MS-Excel,","Certificate,Flexible work hours,Informal dress code,",2,https://internshala.com/internship/detail/telecalling-part-time-job-internship-at-vijayawada-in-tally-solutions-private-limited1673267583
Operations,OYO,"Noida,",Immediately,3 Months,"12,000-15,000 /month",3 Feb' 23,81,"English Proficiency (Spoken),English Proficiency (Written),MS-Office,","Letter of recommendation,Informal dress code,",1,https://internshala.com/internship/detail/operations-internship-in-noida-at-oyo1674145393
Human Resources (HR) Operations,Canara HSBC Life Insurance,"Gurgaon,",Immediately,6 Months,"10,000 /month",3 Feb' 23,94,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,","Certificate,Flexible work hours,5 days a week,Job offer,",1,https://internshala.com/internship/detail/human-resources-hr-operations-internship-in-gurgaon-at-canara-hsbc-life-insurance1674021823
Marketing &amp; Sales,Fashion TV India,"Pune,",Immediately,6 Months,"2,000 /month + Incentives",3 Feb' 23,0,"Business Analysis,Business Research,Client Relationship,English Proficiency (Spoken),English Proficiency (Written),Instagram Marketing,Sales and Marketing,","Certificate,Letter of recommendation,Flexible work hours,Informal dress code,",2,https://internshala.com/internship/detail/marketing-sales-internship-in-pune-at-fashion-tv-india1672998212
Human Resources &amp; Learning &amp; Development,Taj Hotels,"Chennai,",Immediately,6 Months,"3,000 /month",3 Feb' 23,64,"British English,MS-Office,","Certificate,Letter of recommendation,Free snacks & beverages,",1,https://internshala.com/internship/detail/human-resources-learning-development-internship-in-chennai-at-taj-hotels1673002336
Graphic Design,Fashion TV India,"Pune,",Immediately,6 Months,"2,000 /month",3 Feb' 23,27,"Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,CorelDRAW,UI & UX Design,Video Editing,","Certificate,Letter of recommendation,Flexible work hours,Informal dress code,",2,https://internshala.com/internship/detail/graphic-design-internship-in-pune-at-fashion-tv-india1672924763
Business Development (Sales),Mahindra Holidays &amp; Resorts India Limited,"Ahmedabad, Pune, Surat, Navi Mumbai, Mumbai,",Immediately,6 Months,"20,000 /month",3 Feb' 23,46,"Client Relationship,Sales and Marketing,","Certificate,Job offer,",15,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-mahindra-holidays-resorts-india-limited1673860832
Graphic Design,Bajaj Capital,"Gurgaon,",Immediately,3 Months,"10,000 /month",3 Feb' 23,113,"Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Canva,CorelDRAW,Figma,UI & UX Design,","Certificate,Free snacks & beverages,Job offer,",2,https://internshala.com/internship/detail/graphic-design-internship-in-gurgaon-at-bajaj-capital1673519718
Business Development (Awards),Times Internet,"Noida,",Immediately,6 Months,"7,000 /month",3 Feb' 23,0,,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,",2,https://internshala.com/internship/detail/business-development-awards-internship-in-noida-at-times-internet1673323708
Business Development (Sales),Urban Company,"Jamshedpur,",Immediately,2 Months,"18,000 /month",3 Feb' 23,0,"Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,","Certificate,",1,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-jamshedpur-in-urban-company1673850078
Business Development Associate,Urban Company,"Mumbai,",Immediately,3 Months,"23,000 /month",3 Feb' 23,99,,"Certificate,Informal dress code,Free snacks & beverages,",2,https://internshala.com/internship/detail/business-development-associate-internship-in-mumbai-at-urban-company1673006719
Human Resources (HR),Kotak Mahindra Bank,"Mumbai,",Immediately,3 Months,"5,000 /month",3 Feb' 23,71,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word,","Certificate,5 days a week,",1,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-kotak-mahindra-bank1674195705
Content Operations,Saregama India Limited,"Mumbai,",Immediately,6 Months,"5,000-10,000 /month",2 Feb' 23,58,"MS-Excel,MS-PowerPoint,MS-Word,","Certificate,5 days a week,Free snacks & beverages,",4,https://internshala.com/internship/detail/content-operations-internship-in-mumbai-at-saregama-india-limited1673938248
Video Making/Editing,Decathlon Sports India Private Limited,"Bangalore,",Immediately,3 Months,"15,000 /month",3 Feb' 23,80,"Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,Animation,Video Editing,Video Making,","Certificate,Letter of recommendation,Informal dress code,5 days a week,",1,https://internshala.com/internship/detail/video-making-editing-internship-in-bangalore-at-decathlon-sports-india-private-limited1673003142
Content &amp; E-Commerce Management,Bombay Shaving Company,"Delhi, Gurgaon, Noida,",Immediately,3 Months,"7,500 /month",3 Feb' 23,55,"MS-Excel,","Certificate,",1,https://internshala.com/internship/detail/content-e-commerce-management-internship-in-multiple-locations-at-bombay-shaving-company1673554739
Customer Care,Crossword Bookstores Limited,"Pune,",Immediately,1 Week,"1,000 /week",3 Feb' 23,36,"Client Relationship,MS-Excel,Sales and Marketing,","Certificate,Letter of recommendation,",10,https://internshala.com/internship/detail/customer-care-internship-in-pune-at-crossword-bookstores-limited1673437408
Financial Life Advisory,Kotak Mahindra Life Insurance Company Limited,"Faridabad,",Immediately,2 Weeks,"3,000 /week",3 Feb' 23,30,,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages,",20,https://internshala.com/internship/detail/financial-life-advisory-part-time-job-internship-at-faridabad-in-kotak-mahindra-life-insurance-company-limited1674106548
Field Sales,LIC,"Ahmedabad, Gandhinagar,",Immediately,6 Months,"10,000-15,000 /month",3 Feb' 23,38,"English Proficiency (Spoken),Hindi Proficiency (Spoken),","Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages,",20,https://internshala.com/internship/detail/field-sales-part-time-job-internship-at-ahmedabad-gandhinagar-in-lic1673326201
Omni Sports Leadership (Skateboarding/Skating),Decathlon Sport India Private Limited,"Pune, Pimpri-Chinchwad, Wakad,",Immediately,2 Months,"5,000-10,000 /month",3 Feb' 23,0,"English Proficiency (Spoken),Sales and Marketing,","Letter of recommendation,Informal dress code,5 days a week,Free snacks & beverages,",20,https://internshala.com/internship/detail/omni-sports-leadership-skateboarding-skating-part-time-job-internship-at-multiple-locations-in-decathlon-sport-india-private-limited1673237818
Chartered Accountancy (CA),Canara HSBC Life Insurance,"Gurgaon,",Immediately,6 Months,"18,000 /month",3 Feb' 23,51,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Word,","Certificate,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages,",1,https://internshala.com/internship/detail/chartered-accountancy-ca-internship-in-gurgaon-at-canara-hsbc-life-insurance1673340803
Media &amp; Public Relations (PR),PR Pundit,"Gurgaon,",Immediately,2 Months,"10,000 /month",3 Feb' 23,39,"Creative Writing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-PowerPoint,Social Media Marketing,","Certificate,5 days a week,",2,https://internshala.com/internship/detail/media-public-relations-pr-internship-in-gurgaon-at-pr-pundit1673611087
Social Media Management And Editorial,Ericsson India Global Sevices Private Limited,"Gurgaon, Bangalore, Noida,",Immediately,6 Months,"25,000 /month",3 Feb' 23,102,,"Certificate,5 days a week,",1,https://internshala.com/internship/detail/social-media-management-and-editorial-internship-in-multiple-locations-at-ericsson-india-global-sevices-private-limited1673941627
Sport Leading,Decathlon Sports India,"Kozhikode,",Immediately,6 Months,"13,000 /month",2 Feb' 23,0,,"Certificate,Job offer,",3,https://internshala.com/internship/detail/sport-leading-part-time-job-internship-at-kozhikode-in-decathlon-sports-india1673958482
English Programming,Viacom 18 Media Private Limited,"Mumbai,",Immediately,6 Months,"20,000 /month",3 Feb' 23,92,"Creative Writing,English Proficiency (Spoken),English Proficiency (Written),","Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer,",1,https://internshala.com/internship/detail/english-programming-internship-in-mumbai-at-viacom-18-media-private-limited1673247695
Machine Learning,CEAT,"Mumbai,",Immediately,4 Months,"5,000 /month",3 Feb' 23,55,"Deep Learning,Image Processing,Machine Learning,Python,","Certificate,5 days a week,",1,https://internshala.com/internship/detail/machine-learning-internship-in-mumbai-at-ceat1674131772
Business Development (Sales),Decathlon Sports India,"Pune,",Immediately,3 Months,"5,000 /month",2 Feb' 23,52,,"Certificate,Letter of recommendation,Informal dress code,Job offer,",20,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-pune-in-decathlon-sports-india1672920786
Campus Ambassador,IIT Delhi- Rendezvous,"Work From Home,",Immediately,2 Months,Performance Based,3 Feb' 23,0,"Digital Marketing,Social Media Marketing,","Certificate,Flexible work hours,",100,https://internshala.com/internship/detail/campus-ambassador-programme-at-iit-delhi-rendezvous1673959301
Marketing,BYJU'S The Learning App,"Ahmedabad,",Immediately,2 Months,"12,000 /month",3 Feb' 23,0,"English Proficiency (Spoken),MS-Excel,MS-Office,","Certificate,",6,https://internshala.com/internship/detail/marketing-internship-in-ahmedabad-at-byjus-the-learning-app1674131329
Human Resources (HR),Hero Cycles Limited,"Gurgaon,",Immediately,2 Months,"20,000-30,000 /month",2 Feb' 23,216,"English Proficiency (Written),MS-Excel,","Letter of recommendation,",1,https://internshala.com/internship/detail/human-resources-hr-internship-in-gurgaon-at-hero-cycles-limited1674040722
Content Editing,Sportskeeda,"Work From Home,",Immediately,3 Months,"10,000-15,000 /month",2 Feb' 23,610,"Content Writing,Copywriting,Proofreading,",,5,https://internshala.com/internship/detail/content-editing-work-from-home-job-internship-at-sportskeeda1674102604
Marketing,BYJU'S,"Ahmedabad, Rajkot,",Immediately,2 Months,"16,000 /month",2 Feb' 23,0,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,","Certificate,",2,https://internshala.com/internship/detail/marketing-internship-in-ahmedabad-rajkot-at-byjus1674039091
Web Development,Worldwide Media (Times Group),"Mumbai,",Immediately,6 Months,"10,000-12,000 /month",3 Feb' 23,166,"CSS,HTML,JavaScript,PHP,ReactJS,WordPress,","Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,",5,https://internshala.com/internship/detail/web-development-internship-in-mumbai-at-worldwide-media-times-group1674020855
Fashion Business Officer,Tommy Hilfiger,"Panjim,",Immediately,6 Months,"24,000 /month",1 Feb' 23,157,,"Certificate,Flexible work hours,Informal dress code,",8,https://internshala.com/internship/detail/fashion-business-officer-internship-in-panjim-at-tommy-hilfiger1674049895
ECommerce Management,Scholastic India,"Gurgaon,",Immediately,3 Months,"6,000 /month",1 Feb' 23,0,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,","Certificate,Letter of recommendation,Informal dress code,5 days a week,",3,https://internshala.com/internship/detail/ecommerce-management-internship-in-gurgaon-at-scholastic-india1674047034
Accounts,Moreish Foods Limited,"Ranchi,",Immediately,2 Months,"12,000-15,000 /month",1 Feb' 23,0,"Tally,","Certificate,Letter of recommendation,Free snacks & beverages,",2,https://internshala.com/internship/detail/accounts-internship-in-ranchi-at-moreish-foods-limited1673966706
Channel Hosting,Unacademy,"Bangalore,",Immediately,3 Months,"10,000-20,000 /month",1 Feb' 23,0,"Video Editing,","Certificate,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages,",1,https://internshala.com/internship/detail/channel-hosting-internship-in-bangalore-at-unacademy1674015288
,,,,,,,,,,,https://internshala.com/job/detail/inside-sales-specialist-fresher-jobs-in-chennai-bangalore-at-skill-lync1673335657
Video Making/Editing,ClearTax,"Bangalore,",Immediately,3 Months,"20,000 /month",1 Feb' 23,56,"Adobe After Effects,Adobe Illustrator,Adobe Premiere Pro,Animation,Blender 3D,Video Making,","Certificate,Informal dress code,5 days a week,Free snacks & beverages,",1,https://internshala.com/internship/detail/video-making-editing-internship-in-bangalore-at-cleartax1673957775
Corporate Sales,Bharti Airtel Limited,"Ahmedabad, Chennai, Rajkot, Surat, Vadodara, Rajasthan,",Immediately,6 Months,"20,000 /month",1 Feb' 23,82,"English Proficiency (Spoken),English Proficiency (Written),","Certificate,Letter of recommendation,Job offer,",60,https://internshala.com/internship/detail/corporate-sales-internship-in-multiple-locations-at-bharti-airtel-limited1674021077
Fundraising,WWF India,"Delhi,",Immediately,3 Months,"18,000 /month",31 Jan' 23,0,"Sales and Marketing,","Certificate,Letter of recommendation,",1,https://internshala.com/internship/detail/fundraising-internship-in-delhi-at-wwf-india1673933391
Corporate Sales,Bharti Airtel Limited,"Work From Home,",Immediately,6 Months,"20,000 /month",2 Feb' 23,0,"English Proficiency (Spoken),English Proficiency (Written),","Certificate,Letter of recommendation,Flexible work hours,Job offer,",15,https://internshala.com/internship/detail/corporate-sales-work-from-home-job-internship-at-bharti-airtel-limited1672390676
